Time,BP,MBP,HR,Event
359.711,78.5027,81.75781,416.1875,
359.712,78.27655,81.85156,416.125,
359.713,78.05819,81.90625,416.1562,
359.714,77.76966,81.69531,416.1562,
359.715,77.48892,81.67188,416.0625,
359.716,77.41094,81.74219,416.0625,
359.717,77.23158,81.84375,416.0625,
359.718,77.00543,81.89062,416.125,
359.719,76.70909,81.67188,416.0938,
359.72,76.45175,81.66406,416.125,
359.721,76.38936,81.72656,416.125,
359.722,76.19441,81.82812,416.1562,
359.723,75.97605,81.875,416.125,
359.724,75.69532,81.66406,416.0938,
359.725,75.42238,81.66406,416.0938,
359.726,75.36779,81.71094,416.1562,
359.727,75.16503,81.8125,416.1875,
359.728,74.93888,81.86719,416.1875,
359.729,74.65035,81.65625,416.125,
359.73,74.4086,81.64844,416.1562,
359.731,74.33841,81.69531,416.125,
359.732,74.13566,81.80469,416.2188,
359.733,73.90951,81.84375,416.1875,
359.734,73.63657,81.63281,416.125,
359.735,73.38702,81.60938,416.0938,
359.736,73.30904,81.67188,416.125,
359.737,73.11408,81.76562,416.0938,
359.738,72.89573,81.82812,416.2188,
359.739,72.62279,81.60156,416.0938,
359.74,72.34985,81.57812,416.125,
359.741,72.28747,81.66406,416.25,
359.742,72.08471,81.75781,416.0625,
359.743,71.87416,81.79688,416.1875,
359.744,71.58562,81.58594,416.1562,
359.745,71.30488,81.5625,416.0938,
359.746,71.2425,81.63281,416.1875,
359.747,71.03194,81.71875,416.0938,
359.748,70.82919,81.78125,416.125,
359.749,70.51726,81.5625,416.0625,
359.75,70.24432,81.53125,416.0938,
359.751,70.15854,81.60938,416.1562,
359.752,69.96358,81.71094,416.125,
359.753,69.73743,81.74219,416.1875,
359.754,69.44109,81.53906,416.0938,
359.755,69.15256,81.51562,415.9688,
359.756,69.06678,81.57812,416.1562,
359.757,68.87962,81.67969,416.1875,
359.758,68.64567,81.71875,416.0938,
359.759,68.34154,81.49219,416,
359.76,68.053,81.47656,416.125,
359.761,67.95942,81.54688,416.0938,
359.762,67.75667,81.65625,416.125,
359.763,67.53831,81.67188,416.125,
359.764,67.22638,81.44531,416.0938,
359.765,66.96124,81.42969,416.0938,
359.766,66.87546,81.49219,416.125,
359.767,66.6961,81.60938,416.0938,
359.768,66.44655,81.63281,416.0938,
359.769,66.16582,81.42969,416.0625,
359.77,65.90847,81.40625,416.2188,
359.771,65.85388,81.46875,416.1875,
359.772,65.65113,81.55469,416.0938,
359.773,65.44058,81.59375,416.1562,
359.774,65.15984,81.39844,416.0938,
359.775,64.91029,81.36719,416.1875,
359.776,64.84791,81.42188,416.0938,
359.777,64.66855,81.52344,416.125,
359.778,64.47359,81.57031,416.1562,
359.779,64.20065,81.35156,416.0938,
359.78,63.9589,81.32031,416.0938,
359.781,63.94331,81.38281,416.0938,
359.782,63.83413,81.47656,416.0312,
359.783,63.76395,81.52344,416.0938,
359.784,63.74055,81.30469,416.0625,
359.785,63.84973,81.28125,416.0938,
359.786,64.34882,81.32812,416.1562,
359.787,64.8791,81.4375,416.1875,
359.788,65.60434,81.47656,416.125,
359.789,66.47775,81.24219,416.0312,
359.79,67.53831,81.23438,416.125,
359.791,68.99659,81.29688,416.0625,
359.792,70.43148,81.40625,416.125,
359.793,71.99893,81.44531,416.125,
359.794,73.57418,81.23438,416.0938,
359.795,75.18063,81.21094,416.125,
359.796,77.09901,81.27344,416.1562,
359.797,78.83802,81.39062,416,
359.798,80.60823,81.44531,416.0938,
359.799,82.26927,81.22656,415.25,
359.8,83.89131,81.21875,419.2188,
359.801,85.7551,81.27344,419.125,
359.802,87.36154,81.39844,418.9688,
359.803,88.9446,81.44531,419.5,
359.804,90.40287,81.23438,419.1562,
359.805,91.75977,81.23438,419.4688,
359.806,93.31943,81.29688,419.1562,
359.807,94.58275,81.42188,419.375,
359.808,95.79149,81.47656,419.0938,
359.809,96.85205,81.26562,419.1562,
359.81,97.76445,81.27344,419.0938,
359.811,98.86401,81.34375,419.0938,
359.812,99.64384,81.45312,418.9688,
359.813,100.3613,81.51562,419.0625,
359.814,100.8838,81.30469,419.5625,
359.815,101.2893,81.30469,419.0938,
359.816,101.8508,81.39844,419.4688,
359.817,102.0847,81.51562,419.125,
359.818,102.2797,81.57031,419.4375,
359.819,102.2719,81.35156,419.2188,
359.82,102.1705,81.36719,419.0938,
359.821,102.2251,81.4375,419.0625,
359.822,102.0145,81.5625,419.0938,
359.823,101.7728,81.61719,419.1875,
359.824,101.3595,81.42188,419.0312,
359.825,100.8994,81.42969,419.4375,
359.826,100.6264,81.5,419.0312,
359.827,100.1585,81.60156,419.5312,
359.828,99.67503,81.67188,419.125,
359.829,99.05117,81.46875,419.3125,
359.83,98.41171,81.45312,419.0312,
359.831,97.9828,81.53125,418.9688,
359.832,97.35894,81.64844,419.0312,
359.833,96.75847,81.70312,419.125,
359.834,96.03323,81.50781,419.6562,
359.835,95.31579,81.50781,418.9688,
359.836,94.8011,81.57812,419.375,
359.837,94.11486,81.69531,420.5625,
359.838,93.4442,81.75,420.375,
359.839,92.68777,81.53125,420.4062,
359.84,91.93914,81.53125,420.4062,
359.841,91.41665,81.60938,420.4062,
359.842,90.77719,81.71094,420.375,
359.843,90.15333,81.76562,420.4688,
359.844,89.43589,81.54688,420.4375,
359.845,88.76523,81.55469,420.3438,
359.846,88.33633,81.625,420.5,
359.847,87.79825,81.73438,420.5,
359.848,87.27576,81.78125,420.5,
359.849,86.68309,81.5625,420.4062,
359.85,86.13721,81.57031,420.5,
359.851,85.82528,81.64062,420.5,
359.852,85.40418,81.75781,420.5,
359.853,84.99087,81.78125,420.5,
359.854,84.49178,81.57031,420.5,
359.855,84.03948,81.57031,420.4688,
359.856,83.83672,81.63281,420.4375,
359.857,83.4702,81.75781,420.4375,
359.858,83.15047,81.78906,420.4062,
359.859,82.72937,81.58594,420.4375,
359.86,82.33945,81.58594,420.4688,
359.861,82.19908,81.63281,420.5,
359.862,81.90275,81.75,420.5312,
359.863,81.62981,81.79688,420.4688,
359.864,81.26329,81.57812,420.3125,
359.865,80.92016,81.57031,420.4062,
359.866,80.80319,81.64062,420.5625,
359.867,80.56144,81.74219,420.5,
359.868,80.32749,81.78125,420.375,
359.869,79.97657,81.58594,420.5,
359.87,79.66464,81.57031,420.5,
359.871,79.57886,81.63281,420.5,
359.872,79.33711,81.74219,420.5,
359.873,79.11876,81.77344,420.4375,
359.874,78.79123,81.57031,420.4688,
359.875,78.4793,81.5625,420.5,
359.876,78.40132,81.63281,420.5938,
359.877,78.18297,81.71875,420.4375,
359.878,77.95682,81.75781,420.4375,
359.879,77.62149,81.55469,420.4375,
359.88,77.32516,81.53125,420.4688,
359.881,77.25497,81.61719,420.3438,
359.882,77.02882,81.71875,420.5,
359.883,76.81827,81.75781,420.4375,
359.884,76.48294,81.53906,420.4062,
359.885,76.17881,81.53125,420.4375,
359.886,76.10862,81.60938,420.5,
359.887,75.89807,81.70312,420.5,
359.888,75.68752,81.72656,420.4375,
359.889,75.36779,81.53906,420.5,
359.89,75.07145,81.52344,420.4375,
359.891,74.98567,81.57812,420.5312,
359.892,74.78292,81.70312,420.375,
359.893,74.58016,81.72656,420.4375,
359.894,74.23704,81.50781,420.375,
359.895,73.9641,81.50781,420.4062,
359.896,73.87832,81.57812,420.4062,
359.897,73.65996,81.67969,420.4375,
359.898,73.47281,81.69531,420.5938,
359.899,73.12968,81.5,420.4688,
359.9,72.84114,81.48438,420.4688,
359.901,72.76316,81.53906,420.4062,
359.902,72.56041,81.64844,420.375,
359.903,72.34985,81.67969,420.4688,
359.904,72.01453,81.46875,420.5625,
359.905,71.71039,81.45312,420.5312,
359.906,71.62461,81.51562,420.5,
359.907,71.41406,81.64062,420.375,
359.908,71.2113,81.66406,420.4375,
359.909,70.85258,81.44531,420.5625,
359.91,70.56405,81.42969,420.4688,
359.911,70.47047,81.48438,420.4688,
359.912,70.25212,81.59375,420.5,
359.913,70.03376,81.63281,420.5625,
359.914,69.69064,81.41406,420.5,
359.915,69.3943,81.41406,420.5625,
